"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif Aqua","1017","testGoToGl21FromAqua","Surefire suite","Sun Mar 09 18:48:11 GMT 2025","passed","Sun Mar 09 18:48:12 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl21FromAqua"
"Проверка перехода на главную страницу по нажатию на ссылку 'Главная'","671","testGoToMainPage","Surefire suite","Sun Mar 09 18:48:20 GMT 2025","passed","Sun Mar 09 18:48:21 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToMainPage"
"Проверка корректности информации о компании в футере страницы Epolif GL21","699","testFooterInformationGL21","Surefire suite","Sun Mar 09 18:47:48 GMT 2025","passed","Sun Mar 09 18:47:49 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testFooterInformationGL21"
"Проверка перехода на страницу Epolif Aqua через ссылку 'Epolif Aqua'","940","testGoToAquaPageFromAqua","Surefire suite","Sun Mar 09 18:48:10 GMT 2025","passed","Sun Mar 09 18:48:11 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAquaPageFromAqua"
"Проверка перехода на страницу Epolif ACP1","568","testGoToAcp1Page","Surefire suite","Sun Mar 09 18:48:18 GMT 2025","passed","Sun Mar 09 18:48:18 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAcp1Page"
"Проверка перехода на страницу Epolif GL21","541","testGoToGl21Page","Surefire suite","Sun Mar 09 18:48:19 GMT 2025","passed","Sun Mar 09 18:48:19 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl21Page"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL21","1080","testGoToMainPageFromGL21","Surefire suite","Sun Mar 09 18:47:53 GMT 2025","passed","Sun Mar 09 18:47:54 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToMainPageFromGL21"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL7","1042","testGoToAquaPageFromGL7","Surefire suite","Sun Mar 09 18:48:26 GMT 2025","passed","Sun Mar 09 18:48:27 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToAquaPageFromGL7"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL7","830","testUpButtonGL7","Surefire suite","Sun Mar 09 18:48:30 GMT 2025","passed","Sun Mar 09 18:48:31 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testUpButtonGL7"
"Проверка перехода на страницу Epolif GL7 через клик на логотип","1520","testClickOnLogoGL7","Surefire suite","Sun Mar 09 18:48:23 GMT 2025","passed","Sun Mar 09 18:48:24 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testClickOnLogoGL7"
"Проверка перехода на страницу Epolif GL7","570","testGoToGl7Page","Surefire suite","Sun Mar 09 18:48:19 GMT 2025","passed","Sun Mar 09 18:48:20 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl7Page"
"Проверка наличия промо видео на главной странице и его повторяемости","25","testVideo","Surefire suite","Sun Mar 09 18:48:21 GMT 2025","passed","Sun Mar 09 18:48:21 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testVideo"
"Проверка перехода на страницу ACP1 через клик на логотип","1312","testClickOnLogoACP1","Surefire suite","Sun Mar 09 18:47:57 GMT 2025","passed","Sun Mar 09 18:47:58 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testClickOnLogoACP1"
"Проверка перехода на страницу Epolif GL21 через страницу ACP1","952","testGoToGL21FromACP1","Surefire suite","Sun Mar 09 18:48:01 GMT 2025","passed","Sun Mar 09 18:48:02 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL21FromACP1"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif GL21","1017","testGoToGL7FromGL21","Surefire suite","Sun Mar 09 18:47:52 GMT 2025","passed","Sun Mar 09 18:47:53 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL7FromGL21"
"Проверка наличия и корректности информации о компании в футере","36","testFooterInformation","Surefire suite","Sun Mar 09 18:48:18 GMT 2025","passed","Sun Mar 09 18:48:18 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testFooterInformation"
"Проверка информации о компании в футере страницы ACP1","648","testFooterInformationACP1","Surefire suite","Sun Mar 09 18:47:58 GMT 2025","passed","Sun Mar 09 18:47:59 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testFooterInformationACP1"
"Проверка перехода на страницу Epolif ACP1 через страницу ACP1","929","testGoToACP1FromACP1","Surefire suite","Sun Mar 09 18:47:59 GMT 2025","passed","Sun Mar 09 18:48:00 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToACP1FromACP1"
"Проверка перехода на страницу Epolif GL7 через страницу ACP1","1067","testGoToGL7FromACP1","Surefire suite","Sun Mar 09 18:48:02 GMT 2025","passed","Sun Mar 09 18:48:03 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL7FromACP1"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif Aqua","795","testUpButtonAqua","Surefire suite","Sun Mar 09 18:48:14 GMT 2025","passed","Sun Mar 09 18:48:15 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testUpButtonAqua"
"Проверка перехода на страницу Epolif Aqua","759","testGoToAquaPage","Surefire suite","Sun Mar 09 18:48:18 GMT 2025","passed","Sun Mar 09 18:48:19 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAquaPage"
"Проверка перехода на главную страницу по нажатию на логотип","556","testClickOnLogoMain","Surefire suite","Sun Mar 09 18:48:17 GMT 2025","passed","Sun Mar 09 18:48:18 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testClickOnLogoMain"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL7","1081","testGoToACP1FromGL7","Surefire suite","Sun Mar 09 18:48:25 GMT 2025","passed","Sun Mar 09 18:48:26 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToACP1FromGL7"
"Проверка перехода на страницу Epolif Aqua через клик на логотип","1255","testClickOnLogoAqua","Surefire suite","Sun Mar 09 18:48:07 GMT 2025","passed","Sun Mar 09 18:48:08 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testClickOnLogoAqua"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif Aqua","1059","testGoToAcp1FromAqua","Surefire suite","Sun Mar 09 18:48:09 GMT 2025","passed","Sun Mar 09 18:48:10 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAcp1FromAqua"
"Проверка перехода на страницу Epolif Aqua через страницу ACP1","1162","testGoToAquaPageFromACP1","Surefire suite","Sun Mar 09 18:48:00 GMT 2025","passed","Sun Mar 09 18:48:01 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToAquaPageFromACP1"
"Проверка перехода на страницу Epolif GL21 через клик на логотип","1423","testClickOnLogoGL21","Surefire suite","Sun Mar 09 18:47:47 GMT 2025","passed","Sun Mar 09 18:47:48 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testClickOnLogoGL21"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif GL7","999","testGoToGL21FromGL7","Surefire suite","Sun Mar 09 18:48:27 GMT 2025","passed","Sun Mar 09 18:48:28 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL21FromGL7"
"Проверка корректности информации о компании в футере страницы Epolif Aqua","690","testFooterInformationAqua","Surefire suite","Sun Mar 09 18:48:08 GMT 2025","passed","Sun Mar 09 18:48:09 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testFooterInformationAqua"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL7","1071","testGoToMainPageFromGL7","Surefire suite","Sun Mar 09 18:48:29 GMT 2025","passed","Sun Mar 09 18:48:30 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToMainPageFromGL7"
"Проверка повторного перехода на страницу Epolif GL21 через страницу Epolif GL21","974","testGoToGL21FromGL21","Surefire suite","Sun Mar 09 18:47:51 GMT 2025","passed","Sun Mar 09 18:47:52 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL21FromGL21"
