"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода на страницу Epolif GL7 через страницу ACP1","1257","testGoToGL7FromACP1","Surefire suite","Sun Mar 09 18:18:40 GMT 2025","passed","Sun Mar 09 18:18:41 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL7FromACP1"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL7","1206","testGoToAquaPageFromGL7","Surefire suite","Sun Mar 09 18:19:09 GMT 2025","passed","Sun Mar 09 18:19:10 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToAquaPageFromGL7"
"Проверка перехода на страницу Epolif GL7 через повторное нажатие на ссылку 'Epolif GL7'","1081","testGoToGL7FromGL7","Surefire suite","Sun Mar 09 18:19:11 GMT 2025","passed","Sun Mar 09 18:19:12 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL7FromGL7"
"Проверка наличия промо видео на главной странице и его повторяемости","30","testVideo","Surefire suite","Sun Mar 09 18:19:02 GMT 2025","passed","Sun Mar 09 18:19:02 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testVideo"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице ACP1","1332","testGoToMainPageFromACP1","Surefire suite","Sun Mar 09 18:18:41 GMT 2025","passed","Sun Mar 09 18:18:42 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToMainPageFromACP1"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif GL7","1062","testGoToGL21FromGL7","Surefire suite","Sun Mar 09 18:19:10 GMT 2025","passed","Sun Mar 09 18:19:11 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL21FromGL7"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL21","1304","testGoToAquaPageFromGL21","Surefire suite","Sun Mar 09 18:18:26 GMT 2025","passed","Sun Mar 09 18:18:27 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToAquaPageFromGL21"
"Проверка перехода на главную страницу по нажатию на логотип","710","testClickOnLogoMain","Surefire suite","Sun Mar 09 18:18:58 GMT 2025","passed","Sun Mar 09 18:18:58 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testClickOnLogoMain"
"Проверка перехода на страницу Epolif Aqua через клик на логотип","1690","testClickOnLogoAqua","Surefire suite","Sun Mar 09 18:18:46 GMT 2025","passed","Sun Mar 09 18:18:47 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testClickOnLogoAqua"
"Проверка перехода на страницу Epolif GL21 через клик на логотип","1810","testClickOnLogoGL21","Surefire suite","Sun Mar 09 18:18:22 GMT 2025","passed","Sun Mar 09 18:18:23 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testClickOnLogoGL21"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL7","1247","testGoToMainPageFromGL7","Surefire suite","Sun Mar 09 18:19:12 GMT 2025","passed","Sun Mar 09 18:19:13 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToMainPageFromGL7"
"Проверка информации о компании в футере страницы ACP1","801","testFooterInformationACP1","Surefire suite","Sun Mar 09 18:18:35 GMT 2025","passed","Sun Mar 09 18:18:36 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testFooterInformationACP1"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif Aqua","1060","testGoToGl21FromAqua","Surefire suite","Sun Mar 09 18:18:51 GMT 2025","passed","Sun Mar 09 18:18:52 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl21FromAqua"
"Проверка перехода на страницу Epolif Aqua через ссылку 'Epolif Aqua'","1066","testGoToAquaPageFromAqua","Surefire suite","Sun Mar 09 18:18:49 GMT 2025","passed","Sun Mar 09 18:18:51 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAquaPageFromAqua"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL21","1303","testGoToMainPageFromGL21","Surefire suite","Sun Mar 09 18:18:29 GMT 2025","passed","Sun Mar 09 18:18:30 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToMainPageFromGL21"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif Aqua","1241","testGoToGl7FromAqua","Surefire suite","Sun Mar 09 18:18:52 GMT 2025","passed","Sun Mar 09 18:18:53 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl7FromAqua"
"Проверка работоспособности кнопки 'Наверх' на странице ACP1","903","testUpButtonACP1","Surefire suite","Sun Mar 09 18:18:42 GMT 2025","passed","Sun Mar 09 18:18:43 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testUpButtonACP1"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL21","1233","testGoToACP1FromGL21","Surefire suite","Sun Mar 09 18:18:24 GMT 2025","passed","Sun Mar 09 18:18:26 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToACP1FromGL21"
