"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода на главную страницу по нажатию на логотип","508","testClickOnLogoMain","Surefire suite","Sun Mar 09 18:08:40 GMT 2025","passed","Sun Mar 09 18:08:40 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testClickOnLogoMain"
"Проверка перехода на страницу Epolif ACP1 через страницу ACP1","909","testGoToACP1FromACP1","Surefire suite","Sun Mar 09 18:08:21 GMT 2025","passed","Sun Mar 09 18:08:22 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToACP1FromACP1"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif Aqua","795","testUpButtonAqua","Surefire suite","Sun Mar 09 18:08:37 GMT 2025","passed","Sun Mar 09 18:08:37 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testUpButtonAqua"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL7","1005","testGoToACP1FromGL7","Surefire suite","Sun Mar 09 18:08:47 GMT 2025","passed","Sun Mar 09 18:08:48 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToACP1FromGL7"
"Проверка информации о компании в футере страницы ACP1","665","testFooterInformationACP1","Surefire suite","Sun Mar 09 18:08:21 GMT 2025","passed","Sun Mar 09 18:08:21 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testFooterInformationACP1"
"Проверка перехода на страницу Epolif GL21 через страницу ACP1","1067","testGoToGL21FromACP1","Surefire suite","Sun Mar 09 18:08:23 GMT 2025","passed","Sun Mar 09 18:08:24 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL21FromACP1"
"Проверка перехода на страницу Epolif GL7 через клик на логотип","1281","testClickOnLogoGL7","Surefire suite","Sun Mar 09 18:08:45 GMT 2025","passed","Sun Mar 09 18:08:47 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testClickOnLogoGL7"
"Проверка работоспособности кнопки 'Наверх' в футере","665","testButton","Surefire suite","Sun Mar 09 18:08:39 GMT 2025","passed","Sun Mar 09 18:08:40 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testButton"
"Проверка наличия и корректности информации о компании в футере страницы Epolif GL7","618","testFooterInformationGL7","Surefire suite","Sun Mar 09 18:08:47 GMT 2025","passed","Sun Mar 09 18:08:47 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testFooterInformationGL7"
"Проверка перехода на страницу Epolif Aqua","667","testGoToAquaPage","Surefire suite","Sun Mar 09 18:08:41 GMT 2025","passed","Sun Mar 09 18:08:42 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAquaPage"
"Проверка перехода на страницу Epolif Aqua через клик на логотип","1344","testClickOnLogoAqua","Surefire suite","Sun Mar 09 18:08:29 GMT 2025","passed","Sun Mar 09 18:08:31 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testClickOnLogoAqua"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif GL7","974","testGoToGL21FromGL7","Surefire suite","Sun Mar 09 18:08:49 GMT 2025","passed","Sun Mar 09 18:08:50 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL21FromGL7"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL21","1097","testGoToMainPageFromGL21","Surefire suite","Sun Mar 09 18:08:16 GMT 2025","passed","Sun Mar 09 18:08:17 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToMainPageFromGL21"
"Проверка перехода на страницу ACP1 через клик на логотип","1331","testClickOnLogoACP1","Surefire suite","Sun Mar 09 18:08:19 GMT 2025","passed","Sun Mar 09 18:08:21 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testClickOnLogoACP1"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL7","767","testUpButtonGL7","Surefire suite","Sun Mar 09 18:08:52 GMT 2025","passed","Sun Mar 09 18:08:53 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testUpButtonGL7"
"Проверка перехода на страницу Epolif ACP1","562","testGoToAcp1Page","Surefire suite","Sun Mar 09 18:08:41 GMT 2025","passed","Sun Mar 09 18:08:41 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAcp1Page"
