"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода на страницу Epolif GL21 через клик на логотип","1320","testClickOnLogoGL21","Surefire suite","Sun Mar 09 19:24:25 GMT 2025","passed","Sun Mar 09 19:24:26 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testClickOnLogoGL21"
"Проверка перехода на страницу Epolif ACP1","564","testGoToAcp1Page","Surefire suite","Sun Mar 09 19:24:56 GMT 2025","passed","Sun Mar 09 19:24:56 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAcp1Page"
"Проверка перехода на страницу ACP1 через клик на логотип","1203","testClickOnLogoACP1","Surefire suite","Sun Mar 09 19:24:35 GMT 2025","passed","Sun Mar 09 19:24:36 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testClickOnLogoACP1"
"Проверка перехода на страницу Epolif GL21 через страницу ACP1","1017","testGoToGL21FromACP1","Surefire suite","Sun Mar 09 19:24:39 GMT 2025","passed","Sun Mar 09 19:24:40 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL21FromACP1"
"Проверка корректности информации о компании в футере страницы Epolif Aqua","670","testFooterInformationAqua","Surefire suite","Sun Mar 09 19:24:46 GMT 2025","passed","Sun Mar 09 19:24:47 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testFooterInformationAqua"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif Aqua","1014","testGoToGl7FromAqua","Surefire suite","Sun Mar 09 19:24:50 GMT 2025","passed","Sun Mar 09 19:24:51 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl7FromAqua"
"Проверка перехода на страницу Epolif Aqua","711","testGoToAquaPage","Surefire suite","Sun Mar 09 19:24:56 GMT 2025","passed","Sun Mar 09 19:24:57 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAquaPage"
"Проверка перехода на главную страницу по нажатию на ссылку 'Главная'","590","testGoToMainPage","Surefire suite","Sun Mar 09 19:24:58 GMT 2025","passed","Sun Mar 09 19:24:59 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToMainPage"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL21","1013","testGoToACP1FromGL21","Surefire suite","Sun Mar 09 19:24:27 GMT 2025","passed","Sun Mar 09 19:24:28 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToACP1FromGL21"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif Aqua","1031","testGoToAcp1FromAqua","Surefire suite","Sun Mar 09 19:24:47 GMT 2025","passed","Sun Mar 09 19:24:48 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAcp1FromAqua"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif GL21","1015","testGoToGL7FromGL21","Surefire suite","Sun Mar 09 19:24:30 GMT 2025","passed","Sun Mar 09 19:24:31 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL7FromGL21"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif Aqua","965","testGoToGl21FromAqua","Surefire suite","Sun Mar 09 19:24:49 GMT 2025","passed","Sun Mar 09 19:24:50 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl21FromAqua"
"Проверка наличия и корректности информации о компании в футере","44","testFooterInformation","Surefire suite","Sun Mar 09 19:24:56 GMT 2025","passed","Sun Mar 09 19:24:56 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testFooterInformation"
"Проверка работоспособности кнопки 'Наверх' на странице ACP1","723","testUpButtonACP1","Surefire suite","Sun Mar 09 19:24:42 GMT 2025","passed","Sun Mar 09 19:24:43 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testUpButtonACP1"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL7","1038","testGoToAquaPageFromGL7","Surefire suite","Sun Mar 09 19:25:04 GMT 2025","passed","Sun Mar 09 19:25:05 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToAquaPageFromGL7"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif Aqua","1114","testGoToMainPageFromAqua","Surefire suite","Sun Mar 09 19:24:51 GMT 2025","passed","Sun Mar 09 19:24:52 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToMainPageFromAqua"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif Aqua","773","testUpButtonAqua","Surefire suite","Sun Mar 09 19:24:52 GMT 2025","passed","Sun Mar 09 19:24:53 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testUpButtonAqua"
"Проверка перехода на страницу Epolif GL7 через клик на логотип","1373","testClickOnLogoGL7","Surefire suite","Sun Mar 09 19:25:00 GMT 2025","passed","Sun Mar 09 19:25:02 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testClickOnLogoGL7"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL7","1072","testGoToACP1FromGL7","Surefire suite","Sun Mar 09 19:25:02 GMT 2025","passed","Sun Mar 09 19:25:04 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToACP1FromGL7"
"Проверка перехода на главную страницу по нажатию на логотип","502","testClickOnLogoMain","Surefire suite","Sun Mar 09 19:24:55 GMT 2025","passed","Sun Mar 09 19:24:56 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testClickOnLogoMain"
"Проверка работоспособности кнопки 'Наверх' в футере","657","testButton","Surefire suite","Sun Mar 09 19:24:54 GMT 2025","passed","Sun Mar 09 19:24:55 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testButton"
"Проверка перехода на страницу Epolif GL7 через повторное нажатие на ссылку 'Epolif GL7'","944","testGoToGL7FromGL7","Surefire suite","Sun Mar 09 19:25:06 GMT 2025","passed","Sun Mar 09 19:25:06 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL7FromGL7"
"Проверка перехода на страницу Epolif Aqua через клик на логотип","1451","testClickOnLogoAqua","Surefire suite","Sun Mar 09 19:24:45 GMT 2025","passed","Sun Mar 09 19:24:46 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testClickOnLogoAqua"
